date,BTC_drawdown_pct,ETH_drawdown_pct,GOLD_drawdown_pct,ETF_drawdown_pct,EM_drawdown_pct,BOND_drawdown_pct
2024-09-20,-13.53,-46.78,0.0,-0.4,-18.66,-36.03
2024-09-23,-13.35,-44.96,0.0,-0.02,-18.02,-36.16
2024-09-24,-12.02,-44.84,0.0,0.0,-15.23,-36.18
2024-09-25,-13.6,-46.4,-0.14,-0.42,-16.13,-36.71
2024-09-26,-10.81,-45.3,0.0,0.0,-13.05,-36.56
2024-09-27,-9.98,-43.98,-0.79,-0.23,-13.22,-36.23
2024-09-30,-13.35,-45.91,-1.59,-0.24,-14.62,-36.53
2024-10-01,-16.76,-49.11,-0.55,-0.88,-14.0,-36.08
2024-10-02,-17.04,-50.85,-0.53,-0.64,-12.31,-36.61
2024-10-03,-16.86,-51.17,-0.6,-1.13,-13.35,-37.21
2024-10-04,-15.07,-49.82,-0.8,-0.3,-12.55,-37.98
2024-10-07,-14.84,-49.67,-1.14,-0.93,-11.82,-38.45
2024-10-08,-14.98,-49.3,-1.87,-0.67,-14.0,-38.35
2024-10-09,-17.11,-50.78,-2.4,-0.26,-14.47,-38.7
2024-10-10,-17.53,-50.46,-1.68,-0.36,-14.3,-38.94
2024-10-11,-14.56,-49.37,-0.61,0.0,-13.69,-39.18
2024-10-14,-9.63,-45.37,-0.77,0.0,-14.04,-39.14
2024-10-15,-8.27,-45.84,-0.43,-1.04,-15.86,-38.4
2024-10-16,-7.49,-45.74,0.0,-0.65,-15.21,-38.14
2024-10-17,-7.78,-45.88,0.0,-0.69,-15.34,-39.12
2024-10-18,-6.38,-45.11,0.0,-0.11,-14.51,-39.07
2024-10-21,-7.82,-44.6,-0.02,-0.59,-15.1,-40.14
2024-10-22,-7.83,-45.55,0.0,-0.8,-15.29,-40.08
2024-10-23,-9.1,-47.86,-1.21,-1.68,-15.79,-40.24
2024-10-24,-6.74,-47.33,-0.45,-1.45,-15.92,-39.86
2024-10-25,-8.81,-49.38,-0.24,-1.62,-16.0,-40.2
2024-10-28,-4.35,-46.69,-0.24,-1.11,-15.62,-40.36
2024-10-29,-0.5,-45.18,0.0,-1.17,-15.88,-40.27
2024-10-30,-1.02,-44.78,0.0,-1.61,-16.7,-40.09
2024-10-31,-3.92,-47.72,-1.55,-3.09,-17.24,-40.0
2024-11-01,-4.93,-47.8,-1.95,-2.72,-17.17,-40.84
2024-11-04,-7.21,-50.19,-1.81,-2.73,-16.7,-39.92
2024-11-05,-5.1,-49.65,-1.59,-1.6,-15.57,-39.6
2024-11-06,0.0,-43.39,-4.58,-0.42,-16.61,-41.26
2024-11-07,0.0,-39.83,-3.05,0.0,-14.77,-40.52
2024-11-08,0.0,-38.44,-3.7,-0.26,-16.87,-39.77
2024-11-11,0.0,-29.87,-5.97,-0.14,-17.5,-40.06
2024-11-12,-0.84,-32.54,-6.78,-0.88,-19.07,-40.96
2024-11-13,0.0,-33.65,-7.72,-1.08,-19.59,-41.52
2024-11-14,-3.68,-36.43,-7.96,-1.54,-20.04,-41.18
2024-11-15,0.0,-35.52,-8.12,-2.45,-20.04,-41.34
2024-11-18,-0.57,-33.34,-6.37,-1.97,-19.12,-41.23
2024-11-19,0.0,-35.34,-5.53,-1.69,-19.18,-40.93
2024-11-20,0.0,-36.16,-5.0,-1.69,-19.27,-41.12
2024-11-21,0.0,-30.15,-4.21,-1.32,-19.44,-41.17
2024-11-22,0.0,-30.77,-2.97,-0.97,-19.42,-41.13
2024-11-25,-5.96,-29.06,-5.83,-0.62,-19.37,-39.61
2024-11-26,-7.08,-30.87,-5.65,-0.48,-19.7,-39.85
2024-11-27,-3.07,-24.0,-5.44,-0.55,-19.59,-39.43
2024-11-29,-1.55,-25.32,-4.63,0.0,-19.46,-38.8
2024-12-02,-3.16,-24.27,-5.46,0.0,-19.14,-38.66
2024-12-03,-3.03,-24.76,-5.27,0.0,-18.97,-39.19
2024-12-04,-0.23,-20.17,-4.98,0.0,-18.77,-38.53
2024-12-05,-2.43,-20.8,-5.69,0.0,-18.23,-38.41
2024-12-06,0.0,-16.76,-5.65,0.0,-18.36,-38.32
2024-12-09,-2.49,-22.72,-4.71,-0.24,-16.68,-38.88
2024-12-10,-3.25,-24.53,-3.46,-0.83,-18.02,-39.17
2024-12-11,0.0,-20.35,-2.54,-0.12,-17.69,-39.75
2024-12-12,-1.12,-19.31,-3.97,-0.75,-18.1,-40.48
2024-12-13,0.0,-18.72,-5.13,-0.86,-18.02,-41.09
2024-12-16,0.0,-17.14,-4.9,-0.66,-18.47,-40.91
2024-12-17,0.0,-19.23,-5.27,-1.04,-18.67,-40.77
2024-12-18,-5.75,-24.8,-7.08,-3.98,-20.56,-41.51
2024-12-19,-8.15,-28.97,-6.95,-3.97,-20.29,-42.39
2024-12-20,-7.9,-27.84,-5.98,-3.22,-19.97,-42.07
2024-12-23,-10.79,-29.02,-6.42,-2.62,-19.52,-42.6
2024-12-24,-7.03,-27.43,-6.24,-1.8,-19.27,-42.35
2024-12-26,-9.75,-30.77,-5.6,-1.72,-19.56,-42.39
2024-12-27,-11.28,-30.82,-6.25,-2.46,-19.92,-42.86
